iter	MultiClass
0	1.372003318
1	1.201986735
2	1.082414825
3	0.9800119383
4	0.8951806862
5	0.8253748303
6	0.767433011
7	0.7139856023
8	0.668148073
9	0.6254139881
10	0.5897576216
11	0.5579148795
12	0.5301316751
13	0.5030013377
14	0.4810262479
15	0.459407521
16	0.4410742773
17	0.4233682728
18	0.4088551001
19	0.3928495568
20	0.3792274318
21	0.3658431649
22	0.3554517636
23	0.3425319646
24	0.3325264308
25	0.3240204286
26	0.3151251486
27	0.3074057185
28	0.2986968249
29	0.2912613465
30	0.2849448626
31	0.2780441261
32	0.2728288458
33	0.2660086986
34	0.2608485514
35	0.2562674916
36	0.2526341743
37	0.2472417642
38	0.242721306
39	0.2387875773
40	0.2351404631
41	0.2314562508
42	0.2282262951
43	0.2256011647
44	0.2222796947
45	0.2186992903
46	0.2153704693
47	0.2131096729
48	0.2097720679
49	0.2072664864
50	0.2046307835
51	0.2017646398
52	0.1999474704
53	0.1984621888
54	0.1955363728
55	0.1929090373
56	0.1911314556
57	0.1889579828
58	0.1875540504
59	0.1855749013
60	0.183665597
61	0.1826780073
62	0.1810698865
63	0.1792291914
64	0.1773352959
65	0.1760721126
66	0.1751529518
67	0.173642035
68	0.1724154767
69	0.1712458163
70	0.1699019144
71	0.1688638435
72	0.1675673014
73	0.1660914788
74	0.1644683605
75	0.163259317
76	0.1625842993
77	0.1612703581
78	0.1596929508
79	0.1578942126
80	0.1564821962
81	0.1557252604
82	0.1542395009
83	0.1531530984
84	0.1517058289
85	0.150991328
86	0.1498768245
87	0.1481785685
88	0.1471163006
89	0.1461062001
90	0.1452270675
91	0.1442218775
92	0.1429501507
93	0.1421863822
94	0.141523773
95	0.140750061
96	0.1397680372
97	0.1390288029
98	0.1385198896
99	0.138014179
