iter	Passed	Remaining
0	5	569
1	10	514
2	15	493
3	32	772
4	40	765
5	44	704
6	50	664
7	54	626
8	58	595
9	63	567
10	67	545
11	72	530
12	76	513
13	81	502
14	86	492
15	91	479
16	95	468
17	100	457
18	105	450
19	110	440
20	115	434
21	119	424
22	124	416
23	128	407
24	133	401
25	138	394
26	145	392
27	149	385
28	154	378
29	158	370
30	163	363
31	167	356
32	172	349
33	177	343
34	182	338
35	186	332
36	191	326
37	196	320
38	200	313
39	205	307
40	209	301
41	214	295
42	218	290
43	223	284
44	227	278
45	232	273
46	237	267
47	241	261
48	246	256
49	250	250
50	255	245
51	259	239
52	264	234
53	268	228
54	273	223
55	278	218
56	282	213
57	286	207
58	289	201
59	297	198
60	302	193
61	308	188
62	313	184
63	318	178
64	322	173
65	327	168
66	332	163
67	337	158
68	342	153
69	346	148
70	351	143
71	356	138
72	360	133
73	365	128
74	369	123
75	373	118
76	378	113
77	383	108
78	387	102
79	391	97
80	396	92
81	400	87
82	405	83
83	409	78
84	414	73
85	418	68
86	423	63
87	427	58
88	432	53
89	436	48
90	441	43
91	446	38
92	450	33
93	455	29
94	459	24
95	464	19
96	468	14
97	473	9
98	477	4
99	481	0
